t (s),X,Y,Z,a (m/s^2)
110500.0,-0.00023271375600774478,-3.7177227083939083e-07,-0.0,0.00023271405297027839
111700.0,-0.00023273073132987703,-3.7802535240753945e-07,-0.0,0.00023273103834363493
112900.0,-0.00023274824249189819,-3.8186917736658643e-07,-0.0,0.00023274855575735817
114100.0,-0.00023276502500791985,-3.8336189019837516e-07,-0.0,0.00023276534070448804
115300.0,-0.00023277991910627635,-3.8270316870579074e-07,-0.0,0.00023278023369873975
116500.0,-0.0002327919099587748,-3.8021452471295736e-07,-0.0,0.00023279222045708296
117700.0,-0.00023280016068802869,-3.763223085821513e-07,-0.0,0.00023280046485102195
118900.0,-0.00023280404514111096,-3.7154234100835293e-07,-0.0,0.00023280434162140445
120100.0,-0.00023280318502202918,-3.6646359300332865e-07,-0.0,0.00023280347345339619
121300.0,-0.00023279749279756434,-3.617271769286377e-07,-0.0,0.00023279777382823605
122500.0,-0.00023278721733915113,-3.5799617295511513e-07,-0.0,0.00023278749261454112
123700.0,-0.00023277298310294412,-3.559120153689488e-07,-0.0,0.0002327732551991448
124900.0,-0.00023275580628801537,-3.5603529601583093e-07,-0.0,0.00023275607859283965
126100.0,-0.0002327370655169908,-3.587739919579142e-07,-0.0,0.00023273734204943858
127300.0,-0.00023271840562025703,-3.643103001613546e-07,-0.0,0.00023271869077585772
128500.0,-0.00023270156724230178,-3.7254570045495077e-07,-0.0,0.00023270186545733238
129700.0,-0.00023268816280767876,-3.830866167227472e-07,-0.0,0.00023268847815516937
130900.0,-0.0002326794493465729,-3.9528443362811455e-07,-0.0,0.0002326797851082209
132100.0,-0.0002326761604229806,-4.0832474892714555e-07,-0.0,0.00023267651870844465
133300.0,-0.00023267844050614886,-4.2134184346654204e-07,-0.0,0.0002326788219957341
134500.0,-0.00023268588552418488,-4.3352737611603494e-07,-0.0,0.00023268628938585942
135700.0,-0.0002326976580309851,-4.4421023217730234e-07,-0.0,0.0002326980820201053
136900.0,-0.00023271263226493937,-4.528997411206701e-07,-0.0,0.00023271307297582661
138100.0,-0.00023272953250807026,-4.59297341015498e-07,-0.0,0.00023272998572481459
139300.0,-0.00023274704537352346,-4.6328758564423345e-07,-0.0,0.0002327475064646064
140500.0,-0.00023276390200892839,-4.6491917487002204e-07,-0.0,0.00023276436631980673
141700.0,-0.00023277893534126072,-4.6438356782464634e-07,-0.0,0.0002327793985530268
142900.0,-0.00023279112098487562,-4.619951842556077e-07,-0.0,0.00023279157942018708
144100.0,-0.00023279961048935103,-4.5817430835647883e-07,-0.0,0.00023280006135671528
145300.0,-0.00023280376402849573,-4.5343171914559866e-07,-0.0,0.0002328042056023891
146500.0,-0.00023280318727585714,-4.483525439000893e-07,-0.0,0.0002328036190135399
147700.0,-0.0002327977740896168,-4.435756529541341e-07,-0.0,0.0002327981966864008
148900.0,-0.00023278775226312582,-4.3976414019504416e-07,-0.0,0.00023278816764650526
150100.0,-0.00023277372352878154,-4.375625556882629e-07,-0.0,0.00023277413478830453
151300.0,-0.0002327566816563436,-4.3753854851589014e-07,-0.0,0.00023275709290084784
152500.0,-0.00023273798638223943,-4.4011154254775384e-07,-0.0,0.00023273840251112268
153700.0,-0.00023271927137690578,-4.454791204099325e-07,-0.0,0.00023271969775213406
154900.0,-0.0002327022777661063,-4.535603575756997e-07,-0.0,0.0002327027197832721
156100.0,-0.0002326886319692002,-4.639786032323079e-07,-0.0,0.00023268909455288647
157300.0,-0.0002326796169812279,-4.760982904755213e-07,-0.0,0.00023268010406588937
158500.0,-0.00023267599947688437,-4.891118517536825e-07,-0.0,0.000232676513561147
159700.0,-0.00023267795787505302,-5.021535602612775e-07,-0.0,0.00023267849973537097
160900.0,-0.0002326851174419836,-5.14409278307224e-07,-0.0,0.00023268568605716878
162100.0,-0.00023269666234544543,-5.251983032742512e-07,-0.0,0.00023269725503316106
163300.0,-0.00023271148004634957,-5.340186514661707e-07,-0.0,0.00023271209276976276
164500.0,-0.00023272830063350908,-5.405602969734516e-07,-0.0,0.00023272892841500313
165700.0,-0.00023274581075005793,-5.446971076959422e-07,-0.0,0.00023274644812894764
166900.0,-0.00023276273738989913,-5.464682681255562e-07,-0.0,0.00023276337887392684
168100.0,-0.00023277790633764592,-5.460569477652883e-07,-0.0,0.0002327785468146239
169300.0,-0.00023279028378154858,-5.437704074281489e-07,-0.0,0.00023279091887217147
170500.0,-0.00023279900982320432,-5.400227998726212e-07,-0.0,0.00023279963616657298
171700.0,-0.00023280343109592107,-5.353197912735375e-07,-0.0,0.00023280404656558743
172900.0,-0.00023280313738739957,-5.302425768629728e-07,-0.0,0.0002328037412384233
174100.0,-0.0002327980040940674,-5.254276659532755e-07,-0.0,0.00023279859704133436
175300.0,-0.0002327882380516563,-5.215380036490726e-07,-0.0,0.00023278882227693805
176500.0,-0.00023277441831135722,-5.192210437683544e-07,-0.0,0.00023277499739165073
177700.0,-0.0002327575161077044,-5.190512414233337e-07,-0.0,0.00023275809485132735
178900.0,-0.0002327388719676549,-5.21459213610177e-07,-0.0,0.00023273945614031138
180100.0,-0.0002327201078349037,-5.266577372500883e-07,-0.0,0.00023272070376109945
181300.0,-0.00023270296456833693,-5.345834298456514e-07,-0.0,0.00023270357861093614
182500.0,-0.0002326890818143519,-5.448766987910696e-07,-0.0,0.00023268971976910161
183700.0,-0.0002326797679512998,-5.569153312430563e-07,-0.0,0.00023268043443434793
184900.0,-0.00023267582251836776,-5.698989936101065e-07,-0.0,0.00023267652045159582
186100.0,-0.00023267745799336197,-5.82962338726321e-07,-0.0,0.00023267818828446533
187300.0,-0.0002326843293469157,-5.952857264518687e-07,-0.0,0.00023268509081743945
188500.0,-0.00023269564283844924,-6.061790368429213e-07,-0.0,0.00023269643239427597
189700.0,-0.00023271029961911696,-6.151290337157798e-07,-0.0,0.00023271111261078038
190900.0,-0.00023272703597544114,-6.21814212374769e-07,-0.0,0.0002327278666744251
192100.0,-0.0002327445388776979,-6.260976995503643e-07,-0.0,0.0002327453809976078
193300.0,-0.00023276153138267146,-6.280090941358036e-07,-0.0,0.0002327623785903312
194500.0,-0.00023277683229400208,-6.277232050465308e-07,-0.0,0.00023277767867485087
195700.0,-0.00023278939850624874,-6.25540067234848e-07,-0.0,0.00023279023896477445
196900.0,-0.00023279835879816126,-6.218676369555538e-07,-0.0,0.00023279918938534842
198100.0,-0.0002328030463948728,-6.172063970845971e-07,-0.0,0.0002328038645608571
199300.0,-0.00023280303534254325,-6.121335238996658e-07,-0.0,0.0002328038401147037
200500.0,-0.00023279818272341904,-6.0728304884581e-07,-0.0,0.00023279897480879896
201700.0,-0.00023278867453902562,-6.033176084546221e-07,-0.0,0.0002327894563457999
202900.0,-0.0002327750672083327,-6.00887350906387e-07,-0.0,0.00023277584277465798
204100.0,-0.0002327583093353091,-6.005732874747188e-07,-0.0,0.00023275908414690299
205300.0,-0.0002327397219278184,-6.028169729858443e-07,-0.0,0.00023274050260180577
206500.0,-0.00023272091464901252,-6.07846181422626e-07,-0.0,0.0002327217084675455
207700.0,-0.00023270362734933062,-6.156150088866844e-07,-0.0,0.00023270444164943501
208900.0,-0.00023268951212990815,-6.257810427824801e-07,-0.0,0.00023269035359715318
210100.0,-0.00023267990215529842,-6.377357216110785e-07,-0.0,0.00023268077611579747
211300.0,-0.00023267562956208332,-6.506863423940064e-07,-0.0,0.00023267653939498928
212500.0,-0.00023267694097780476,-6.637683280914408e-07,-0.0,0.00023267788775726457
213700.0,-0.00023268352143273612,-6.761568368326771e-07,-0.0,0.0002326845038553418
214900.0,-0.00023269459975277715,-6.871525090059731e-07,-0.0,0.00023269561433915292
216100.0,-0.00023270909124963062,-6.962309222035638e-07,-0.0,0.00023271013275688265
217300.0,-0.00023272573880341429,-7.030590816456274e-07,-0.0,0.0002327268007636149
218500.0,-0.00023274323001373822,-7.074893193373825e-07,-0.0,0.0002327443053188731
219700.0,-0.00023276028422080153,-7.095415789190932e-07,-0.0,0.00023276136569413863
220900.0,-0.00023277571341113025,-7.093822377766667e-07,-0.0,0.0002327767943271406
222100.0,-0.0002327884653191363,-7.073040380025826e-07,-0.0,0.00023278953985228997
223300.0,-0.00023279765752597516,-7.037086744561965e-07,-0.0,0.00023279872112079938
224500.0,-0.00023280260998050762,-6.990913769375815e-07,-0.0,0.00023280365964153068
225700.0,-0.00023280288113132098,-6.940252172215505e-07,-0.0,0.00023280391563297665
226900.0,-0.00023279830989468962,-6.891416341517626e-07,-0.0,0.0002327993299088635
228100.0,-0.000232789061564135,-6.851027985892679e-07,-0.0,0.000232790069697475
229300.0,-0.00023277566998160243,-6.8256134635881e-07,-0.0,0.00023277667070687182
230500.0,-0.00023275906103551063,-6.821045964849917e-07,-0.0,0.00023276006049323218
231700.0,-0.00023274053591856275,-6.841847849265438e-07,-0.0,0.00023274154156162095
232900.0,-0.00023272169147274126,-6.890444798795896e-07,-0.0,0.00023272271153505628
234100.0,-0.00023270426580557354,-6.966551829714819e-07,-0.0,0.00023270530860415491
235300.0,-0.00023268992269677847,-7.066917722853218e-07,-0.0,0.00023269099582470687
236500.0,-0.0002326800194849521,-7.185596263453196e-07,-0.0,0.00023268112900588715
237700.0,-0.0002326754206161765,-7.314740664647311e-07,-0.0,0.00023267657040025442
238900.0,-0.00023267640693976183,-7.445716791259757e-07,-0.0,0.0002326775982628818
240100.0,-0.00023268269388942187,-7.570227279349806e-07,-0.0,0.00023268392535594077
241300.0,-0.0002326935333290114,-7.681187983704896e-07,-0.0,0.00023269480110141728
242500.0,-0.00023270785520344096,-7.773243537560594e-07,-0.0,0.0002327091534653001
243700.0,-0.0002327244093872087,-7.842949015527571e-07,-0.0,0.00023272573094335254
244900.0,-0.0002327418844165188,-7.888719273011872e-07,-0.0,0.00023274322134204012
246100.0,-0.00023275899613951577,-7.910656503573971e-07,-0.0,0.00023276034041206053
247300.0,-0.00023277454989202012,-7.910339456718595e-07,-0.0,0.00023277589396699945
248500.0,-0.0002327874843830359,-7.890621954016637e-07,-0.0,0.00023278882169152883
249700.0,-0.00023279690612154304,-7.855457682755698e-07,-0.0,0.00023279823148365323
